RawAbundance,sample,group
6065911.656,Abundance.F1.Sample.non.treated,non_treated
291631.75,Abundance.F1.Sample.non.treated,non_treated
9477293.727,Abundance.F1.Sample.non.treated,non_treated
313185.6563,Abundance.F1.Sample.non.treated,non_treated
218872.2344,Abundance.F1.Sample.non.treated,non_treated
656990.1875,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
3279960.188,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
1563114.25,Abundance.F1.Sample.non.treated,non_treated
598429.9375,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
69789.29688,Abundance.F1.Sample.non.treated,non_treated
200668.2813,Abundance.F1.Sample.non.treated,non_treated
3364052.703,Abundance.F1.Sample.non.treated,non_treated
368299.0391,Abundance.F1.Sample.non.treated,non_treated
219209.1563,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
229366.2344,Abundance.F1.Sample.non.treated,non_treated
2127273.125,Abundance.F1.Sample.non.treated,non_treated
1243259.844,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
2887490.406,Abundance.F1.Sample.non.treated,non_treated
5775273.969,Abundance.F1.Sample.non.treated,non_treated
1755459.031,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
119287.6406,Abundance.F1.Sample.non.treated,non_treated
310873.4375,Abundance.F1.Sample.non.treated,non_treated
208235.8906,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
2703092.43,Abundance.F1.Sample.non.treated,non_treated
384919.25,Abundance.F1.Sample.non.treated,non_treated
1042043.359,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
387771.3203,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
1261142.734,Abundance.F1.Sample.non.treated,non_treated
129757.0547,Abundance.F1.Sample.non.treated,non_treated
583586.4297,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
601254.0469,Abundance.F1.Sample.non.treated,non_treated
6676474.172,Abundance.F1.Sample.non.treated,non_treated
655611.5,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
53336.94922,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
3970214.328,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
145160.25,Abundance.F1.Sample.non.treated,non_treated
32530698.41,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
1336346.609,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
235908.7656,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
299632.5938,Abundance.F1.Sample.non.treated,non_treated
381072.25,Abundance.F1.Sample.non.treated,non_treated
2164616.734,Abundance.F1.Sample.non.treated,non_treated
2234104.805,Abundance.F1.Sample.non.treated,non_treated
29287320.78,Abundance.F1.Sample.non.treated,non_treated
562282.9375,Abundance.F1.Sample.non.treated,non_treated
296749.7813,Abundance.F1.Sample.non.treated,non_treated
46795114.01,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
221644.5313,Abundance.F1.Sample.non.treated,non_treated
2071677.063,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
408518.9531,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
4849524.094,Abundance.F1.Sample.non.treated,non_treated
122091.0703,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
789215.25,Abundance.F1.Sample.non.treated,non_treated
140454.8906,Abundance.F1.Sample.non.treated,non_treated
107804.2656,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
731979.375,Abundance.F1.Sample.non.treated,non_treated
1260835.375,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
6935259.344,Abundance.F1.Sample.non.treated,non_treated
111754.1484,Abundance.F1.Sample.non.treated,non_treated
