RawAbundance,sample,group
1121082.281,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
182533.7031,Abundance.F21.Sample.non.treated,non_treated
351093.7188,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
393591.25,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
2395471.313,Abundance.F21.Sample.non.treated,non_treated
120307.9453,Abundance.F21.Sample.non.treated,non_treated
187952.3438,Abundance.F21.Sample.non.treated,non_treated
111567.0469,Abundance.F21.Sample.non.treated,non_treated
687036.4375,Abundance.F21.Sample.non.treated,non_treated
472608.3906,Abundance.F21.Sample.non.treated,non_treated
25163248.27,Abundance.F21.Sample.non.treated,non_treated
224195.7031,Abundance.F21.Sample.non.treated,non_treated
962166.8125,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
1571291.875,Abundance.F21.Sample.non.treated,non_treated
162815.4531,Abundance.F21.Sample.non.treated,non_treated
413518.75,Abundance.F21.Sample.non.treated,non_treated
2476728.406,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
906549.0781,Abundance.F21.Sample.non.treated,non_treated
1378159.547,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
133490.4844,Abundance.F21.Sample.non.treated,non_treated
299850.4453,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
1351132.969,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
2083896,Abundance.F21.Sample.non.treated,non_treated
52479.49219,Abundance.F21.Sample.non.treated,non_treated
218032.3906,Abundance.F21.Sample.non.treated,non_treated
446878.6875,Abundance.F21.Sample.non.treated,non_treated
4748587.5,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
2112383.211,Abundance.F21.Sample.non.treated,non_treated
223722.0625,Abundance.F21.Sample.non.treated,non_treated
345466.9609,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
235391.2109,Abundance.F21.Sample.non.treated,non_treated
415542.6094,Abundance.F21.Sample.non.treated,non_treated
464853.1406,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
166953.1563,Abundance.F21.Sample.non.treated,non_treated
2109283.547,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
109545.5313,Abundance.F21.Sample.non.treated,non_treated
151865.4063,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
102605.3828,Abundance.F21.Sample.non.treated,non_treated
1147755.031,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
11995160.56,Abundance.F21.Sample.non.treated,non_treated
979445.5195,Abundance.F21.Sample.non.treated,non_treated
96689.20313,Abundance.F21.Sample.non.treated,non_treated
1219518.406,Abundance.F21.Sample.non.treated,non_treated
608191.0391,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
1505382.047,Abundance.F21.Sample.non.treated,non_treated
1259028.266,Abundance.F21.Sample.non.treated,non_treated
9732716.695,Abundance.F21.Sample.non.treated,non_treated
14649306.14,Abundance.F21.Sample.non.treated,non_treated
42861864.3,Abundance.F21.Sample.non.treated,non_treated
200844.7031,Abundance.F21.Sample.non.treated,non_treated
508734.5938,Abundance.F21.Sample.non.treated,non_treated
162092.6094,Abundance.F21.Sample.non.treated,non_treated
2932681.672,Abundance.F21.Sample.non.treated,non_treated
162973.0156,Abundance.F21.Sample.non.treated,non_treated
279166.875,Abundance.F21.Sample.non.treated,non_treated
178907.0938,Abundance.F21.Sample.non.treated,non_treated
128851.7969,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
357121.1016,Abundance.F21.Sample.non.treated,non_treated
552986.0625,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
3787045.195,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
7520272.93,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
203021.8047,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
2135830.969,Abundance.F21.Sample.non.treated,non_treated
50726507.78,Abundance.F21.Sample.non.treated,non_treated
2145121.883,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
930425.7813,Abundance.F21.Sample.non.treated,non_treated
94599.00781,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
27856546.19,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
240331.7969,Abundance.F21.Sample.non.treated,non_treated
205244.8672,Abundance.F21.Sample.non.treated,non_treated
566662.8906,Abundance.F21.Sample.non.treated,non_treated
783787.0781,Abundance.F21.Sample.non.treated,non_treated
9395227.672,Abundance.F21.Sample.non.treated,non_treated
4817958.305,Abundance.F21.Sample.non.treated,non_treated
6308352.406,Abundance.F21.Sample.non.treated,non_treated
1823055.961,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
1943065.141,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
525431.375,Abundance.F21.Sample.non.treated,non_treated
451537.7969,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
17251804.82,Abundance.F21.Sample.non.treated,non_treated
106110.7344,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
6169998.375,Abundance.F21.Sample.non.treated,non_treated
3504272.031,Abundance.F21.Sample.non.treated,non_treated
212511.0391,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
859938.4063,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
292159.2188,Abundance.F21.Sample.non.treated,non_treated
247080.9453,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
1564564.641,Abundance.F21.Sample.non.treated,non_treated
94568.03125,Abundance.F21.Sample.non.treated,non_treated
166447.2656,Abundance.F21.Sample.non.treated,non_treated
427656.3594,Abundance.F21.Sample.non.treated,non_treated
741397.9219,Abundance.F21.Sample.non.treated,non_treated
456028.5156,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
321683132,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
2284289.859,Abundance.F21.Sample.non.treated,non_treated
239829.1719,Abundance.F21.Sample.non.treated,non_treated
562361.5625,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
2021290.539,Abundance.F21.Sample.non.treated,non_treated
1694110.141,Abundance.F21.Sample.non.treated,non_treated
336189.875,Abundance.F21.Sample.non.treated,non_treated
209032.1875,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
300811.4688,Abundance.F21.Sample.non.treated,non_treated
1428634.242,Abundance.F21.Sample.non.treated,non_treated
2664149.188,Abundance.F21.Sample.non.treated,non_treated
1409087.438,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
374016.9844,Abundance.F21.Sample.non.treated,non_treated
230744.9063,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
504399.3125,Abundance.F21.Sample.non.treated,non_treated
4213116.844,Abundance.F21.Sample.non.treated,non_treated
844339.0313,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
4141249.078,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
552321.25,Abundance.F21.Sample.non.treated,non_treated
94912.21094,Abundance.F21.Sample.non.treated,non_treated
95686.39844,Abundance.F21.Sample.non.treated,non_treated
440930.9063,Abundance.F21.Sample.non.treated,non_treated
860802.125,Abundance.F21.Sample.non.treated,non_treated
1145102.281,Abundance.F21.Sample.non.treated,non_treated
86473.26563,Abundance.F21.Sample.non.treated,non_treated
180535.1563,Abundance.F21.Sample.non.treated,non_treated
179275.5938,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
293284.3125,Abundance.F21.Sample.non.treated,non_treated
710341.5,Abundance.F21.Sample.non.treated,non_treated
181755.6406,Abundance.F21.Sample.non.treated,non_treated
1052553.891,Abundance.F21.Sample.non.treated,non_treated
912081.8125,Abundance.F21.Sample.non.treated,non_treated
315821.6563,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
7873552.734,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
124976.7656,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
13123491.38,Abundance.F21.Sample.non.treated,non_treated
539237.3906,Abundance.F21.Sample.non.treated,non_treated
265664.5313,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
114206.2109,Abundance.F21.Sample.non.treated,non_treated
69681.30469,Abundance.F21.Sample.non.treated,non_treated
3754133.508,Abundance.F21.Sample.non.treated,non_treated
1456906.313,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
263712.0625,Abundance.F21.Sample.non.treated,non_treated
15488126.16,Abundance.F21.Sample.non.treated,non_treated
284971.625,Abundance.F21.Sample.non.treated,non_treated
104610.7031,Abundance.F21.Sample.non.treated,non_treated
315543.6563,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
13534306.92,Abundance.F21.Sample.non.treated,non_treated
270701.4688,Abundance.F21.Sample.non.treated,non_treated
281738.25,Abundance.F21.Sample.non.treated,non_treated
135603.7734,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
778134.7813,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
2322641.039,Abundance.F21.Sample.non.treated,non_treated
104974.3047,Abundance.F21.Sample.non.treated,non_treated
263575.1641,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
8234789.813,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
81383.03906,Abundance.F21.Sample.non.treated,non_treated
227273.3438,Abundance.F21.Sample.non.treated,non_treated
220268.3594,Abundance.F21.Sample.non.treated,non_treated
449678.1875,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
495572.9375,Abundance.F21.Sample.non.treated,non_treated
2200441.875,Abundance.F21.Sample.non.treated,non_treated
22849926.01,Abundance.F21.Sample.non.treated,non_treated
96413,Abundance.F21.Sample.non.treated,non_treated
295138.0547,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
234927.4219,Abundance.F21.Sample.non.treated,non_treated
123195.0625,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
368216.7109,Abundance.F21.Sample.non.treated,non_treated
8075250,Abundance.F21.Sample.non.treated,non_treated
2991660.906,Abundance.F21.Sample.non.treated,non_treated
873606.8281,Abundance.F21.Sample.non.treated,non_treated
994203.7969,Abundance.F21.Sample.non.treated,non_treated
